Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE GAZANIA,"1,513,000",635.08,"2,382",14 Feb 2023,19 HOW SUN DRIVE #04-48,New Sale,Strata,59,"25,644",-,Condominium,1,Freehold,2022,HDB,538555,19,53,North East Region,Serangoon
THE GAZANIA,"2,866,000","1,259.39","2,276",14 Feb 2023,7 HOW SUN DRIVE #02-11,New Sale,Strata,117,"24,496",-,Condominium,1,Freehold,2022,HDB,538530,19,53,North East Region,Serangoon
THE LILIUM,"1,613,800",742.72,"2,173",14 Feb 2023,33 HOW SUN ROAD #03-12,New Sale,Strata,69,"23,388",-,Condominium,1,Freehold,2021,Private,538501,19,53,North East Region,Serangoon
KOVAN JEWEL,"2,738,000","1,345.5","2,035",14 Feb 2023,51 KOVAN ROAD #01-08,New Sale,Strata,125,"21,904",-,Apartment,1,Freehold,Uncompleted,HDB,548534,19,54,North East Region,Hougang
KINGSFORD WATERBAY,"1,100,000",850.36,"1,294",14 Feb 2023,80 UPPER SERANGOON VIEW #05-77,Resale,Strata,79,"13,924",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533878,19,53,North East Region,Hougang
FIORENZA,"1,790,000","1,420.85","1,260",14 Feb 2023,42 FLORENCE ROAD #01-06,Resale,Strata,132,"13,561",-,Apartment,1,Freehold,2011,HDB,549576,19,54,North East Region,Hougang
RIVERSOUND RESIDENCE,"950,000",861.12,"1,103",14 Feb 2023,5 SENGKANG EAST AVENUE #02-16,Resale,Strata,80,"11,875",-,Condominium,1,99 yrs from 26/08/2011,2015,Private,544740,19,54,North East Region,Sengkang
SENGKANG GRAND RESIDENCES,"980,000",505.91,"1,937",15 Feb 2023,80 COMPASSVALE BOW #11-39,Sub Sale,Strata,47,"20,851",-,Apartment,1,99 yrs from 13/11/2018,Uncompleted,Private,544570,19,54,North East Region,Sengkang
CHILTERN PARK,"1,600,000","1,248.62","1,281",15 Feb 2023,133 SERANGOON AVENUE 3 #09-14,Resale,Strata,116,"13,793",-,Condominium,1,99 yrs from 01/03/1991,1995,HDB,556113,19,55,North East Region,Serangoon
AFFINITY AT SERANGOON,"1,390,000",850.36,"1,635",15 Feb 2023,28 SERANGOON NORTH AVENUE 1 #03-59,Sub Sale,Strata,79,"17,595",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554341,19,55,North East Region,Serangoon
LA FIESTA,"970,000",753.48,"1,287",16 Feb 2023,66 SENGKANG SQUARE #02-36,Resale,Strata,70,"13,857",-,Condominium,1,99 yrs from 03/09/2012,2016,Private,544703,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"1,780,000","1,291.68","1,378",16 Feb 2023,41 HOUGANG AVENUE 7 #17-03,Sub Sale,Strata,120,"14,833",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533813,19,53,North East Region,Hougang
REGENTVILLE,"1,110,000","1,151.75",964,17 Feb 2023,2 HOUGANG STREET 92 #07-08,Resale,Strata,107,"10,374",-,Apartment,1,99 yrs from 24/04/1996,1999,Private,538683,19,53,North East Region,Hougang
SPACE @ KOVAN,"995,000",775.01,"1,284",17 Feb 2023,11 YIO CHU KANG ROAD #02-35,Resale,Strata,72,"13,819",-,Apartment,1,Freehold,2015,Private,545679,19,54,North East Region,Serangoon
KINGSFORD WATERBAY,"1,250,000",882.65,"1,416",17 Feb 2023,74 UPPER SERANGOON VIEW #12-48,Resale,Strata,82,"15,244",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533881,19,53,North East Region,Hougang
MIDTOWN RESIDENCES,"900,000",645.84,"1,394",17 Feb 2023,1189 UPPER SERANGOON ROAD #04-02,Resale,Strata,60,"15,000",-,Apartment,1,99 yrs from 24/01/2013,2016,HDB,534785,19,53,North East Region,Hougang
THE QUARTZ,"1,300,000","1,065.64","1,220",17 Feb 2023,63 COMPASSVALE BOW #07-25,Resale,Strata,99,"13,131",-,Condominium,1,99 yrs from 18/04/2005,2009,Private,544990,19,54,North East Region,Sengkang
THE MINTON,"1,950,000","1,323.97","1,473",17 Feb 2023,12B HOUGANG STREET 11 #12-62,Resale,Strata,123,"15,854",-,Condominium,1,99 yrs from 27/07/2007,2013,HDB,534073,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,080,000",624.31,"1,730",17 Feb 2023,18 SERANGOON NORTH AVENUE 1 #11-03,Sub Sale,Strata,58,"18,621",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554336,19,55,North East Region,Serangoon
KOVAN MELODY,"1,880,000","1,313.21","1,432",20 Feb 2023,33 KOVAN ROAD #12-39,Resale,Strata,122,"15,410",-,Condominium,1,99 yrs from 20/01/2004,2006,Private,545020,19,54,North East Region,Hougang
WATERTOWN,"1,248,000",807.3,"1,546",20 Feb 2023,71 PUNGGOL CENTRAL #05-53,Resale,Strata,75,"16,640",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828755,19,82,North East Region,Punggol
THE LILIUM,"2,509,300","1,291.68","1,943",20 Feb 2023,31 HOW SUN ROAD #02-02,New Sale,Strata,120,"20,911",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
WATERTOWN,"950,000",602.78,"1,576",20 Feb 2023,69 PUNGGOL CENTRAL #02-26,Resale,Strata,56,"16,964",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828754,19,82,North East Region,Punggol
THE FLORENCE RESIDENCES,"1,750,000",990.29,"1,767",20 Feb 2023,87 HOUGANG AVENUE 2 #06-30,Sub Sale,Strata,92,"19,022",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538862,19,53,North East Region,Hougang
BOATHOUSE RESIDENCES,"925,000",710.42,"1,302",20 Feb 2023,33 UPPER SERANGOON VIEW #14-26,Resale,Strata,66,"14,015",-,Condominium,1,99 yrs from 09/02/2011,2015,Private,534042,19,53,North East Region,Hougang
NOUVELLE PARK,"1,860,000","1,539.25","1,208",21 Feb 2023,137 POH HUAT ROAD WEST #03-04,Resale,Strata,143,"13,007",-,Condominium,1,Freehold,1994,Private,546687,19,54,North East Region,Hougang
CENTRAL VIEW,"1,335,000","1,259.39","1,060",21 Feb 2023,50 HOUGANG STREET 11 #05-02,Resale,Strata,117,"11,410",-,Condominium,1,99 yrs from 20/03/1998,2002,Private,538749,19,53,North East Region,Hougang
BOTANIQUE AT BARTLEY,"1,858,000","1,065.64","1,744",21 Feb 2023,225 UPPER PAYA LEBAR ROAD #03-09,Resale,Strata,99,"18,768",-,Condominium,1,99 yrs from 14/04/2014,2019,Private,533873,19,53,North East Region,Serangoon
RIO VISTA,"1,138,000","1,054.87","1,079",21 Feb 2023,26 UPPER SERANGOON VIEW #09-31,Resale,Strata,98,"11,612",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534206,19,53,North East Region,Hougang
THE GAZANIA,"3,708,208","1,808.35","2,051",22 Feb 2023,7 HOW SUN DRIVE #05-11,New Sale,Strata,168,"22,073",-,Condominium,1,Freehold,2022,Private,538530,19,53,North East Region,Serangoon
EVERGREEN PARK,"1,100,000","1,237.86",889,22 Feb 2023,37 HOUGANG AVENUE 7 #02-02,Resale,Strata,115,"9,565",-,Apartment,1,99 yrs from 01/10/1995,1999,HDB,538803,19,53,North East Region,Hougang
FLO RESIDENCE,"1,050,000",861.12,"1,219",22 Feb 2023,13 PUNGGOL FIELD WALK #18-28,Resale,Strata,80,"13,125",-,Condominium,1,99 yrs from 05/12/2011,2016,Private,828745,19,82,North East Region,Punggol
RIVERVALE CREST,"1,070,000","1,205.57",888,22 Feb 2023,7 RIVERVALE CRESCENT #09-14,Resale,Strata,112,"9,554",-,Apartment,1,99 yrs from 06/12/1997,2002,Private,545085,19,54,North East Region,Sengkang
VIBES@UPPER SERANGOON,"655,000",441.32,"1,484",22 Feb 2023,488 UPPER SERANGOON ROAD #04-11,Resale,Strata,41,"15,976",-,Apartment,1,Freehold,2016,HDB,534519,19,53,North East Region,Serangoon
THE LUXURIE,"1,160,000",775.01,"1,497",23 Feb 2023,27 COMPASSVALE ROAD #11-33,Resale,Strata,72,"16,111",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544757,19,54,North East Region,Sengkang
THE GAZANIA,"1,637,000",678.13,"2,414",24 Feb 2023,9 HOW SUN DRIVE #04-16,New Sale,Strata,63,"25,984",-,Condominium,1,Freehold,2022,Private,538533,19,53,North East Region,Serangoon
LA FIESTA,"1,957,000","1,367.03","1,432",24 Feb 2023,54 SENGKANG SQUARE #15-11,Resale,Strata,127,"15,409",-,Condominium,1,99 yrs from 03/09/2012,2016,HDB,544832,19,54,North East Region,Sengkang
SUNGLADE,"1,700,000","1,237.86","1,373",24 Feb 2023,3 SERANGOON AVENUE 2 #10-10,Resale,Strata,115,"14,783",-,Condominium,1,99 yrs from 09/10/2000,2003,Private,556131,19,55,North East Region,Serangoon
STARS OF KOVAN,"1,320,000",742.72,"1,777",24 Feb 2023,986 UPPER SERANGOON ROAD #07-23,Resale,Strata,69,"19,130",-,Apartment,1,99 yrs from 25/02/2015,2019,Private,534732,19,53,North East Region,Hougang
THE GAZANIA,"1,551,000",656.6,"2,362",25 Feb 2023,11 HOW SUN DRIVE #05-25,New Sale,Strata,61,"25,426",-,Condominium,1,Freehold,2022,HDB,538536,19,53,North East Region,Serangoon
THE GAZANIA,"1,630,000",678.13,"2,404",25 Feb 2023,9 HOW SUN DRIVE #03-16,New Sale,Strata,63,"25,873",-,Condominium,1,Freehold,2022,Private,538533,19,53,North East Region,Serangoon
THE LILIUM,"1,570,300",699.66,"2,244",26 Feb 2023,31 HOW SUN ROAD #04-04,New Sale,Strata,65,"24,158",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
CARDIFF RESIDENCE,"675,000",419.8,"1,608",27 Feb 2023,103 CARDIFF GROVE #04-29,Resale,Strata,39,"17,308",-,Condominium,1,99 yrs from 04/11/2011,2014,Private,558962,19,55,North East Region,Serangoon
THE LILIUM,"2,624,300","1,356.26","1,935",27 Feb 2023,33 HOW SUN ROAD #03-14,New Sale,Strata,126,"20,828",-,Condominium,1,Freehold,2021,Private,538501,19,53,North East Region,Serangoon
STARS OF KOVAN,"900,000",505.91,"1,779",27 Feb 2023,982 UPPER SERANGOON ROAD #15-10,Resale,Strata,47,"19,149",-,Apartment,1,99 yrs from 25/02/2015,2019,Private,533855,19,53,North East Region,Hougang
PARC CENTROS,"1,888,000","1,345.5","1,403",27 Feb 2023,86 PUNGGOL CENTRAL #12-16,Resale,Strata,125,"15,104",-,Condominium,1,99 yrs from 19/03/2012,2016,Private,828720,19,82,North East Region,Punggol
RIO VISTA,"1,288,000","1,248.62","1,032",27 Feb 2023,28 UPPER SERANGOON VIEW #12-33,Resale,Strata,116,"11,103",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534207,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,140,000",721.19,"1,581",28 Feb 2023,57 HOUGANG AVENUE 7 #14-81,Sub Sale,Strata,67,"17,015",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533821,19,53,North East Region,Hougang
THE GAZANIA,"1,545,000",656.6,"2,353",28 Feb 2023,11 HOW SUN DRIVE #04-25,New Sale,Strata,61,"25,328",-,Condominium,1,Freehold,2022,N.A,538536,19,53,North East Region,Serangoon
WATERTOWN,"1,280,000",807.3,"1,586",28 Feb 2023,71 PUNGGOL CENTRAL #10-55,Resale,Strata,75,"17,067",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828755,19,82,North East Region,Punggol
FLO RESIDENCE,"1,000,000",785.77,"1,273",28 Feb 2023,13 PUNGGOL FIELD WALK #15-27,Resale,Strata,73,"13,699",-,Condominium,1,99 yrs from 05/12/2011,2016,HDB,828745,19,82,North East Region,Punggol
AFFINITY AT SERANGOON,"780,000",473.62,"1,647",28 Feb 2023,28 SERANGOON NORTH AVENUE 1 #04-63,Sub Sale,Strata,44,"17,727",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554341,19,55,North East Region,Serangoon
NAUNG RESIDENCE,"1,680,000","1,227.1","1,369",28 Feb 2023,1 JALAN NAUNG #05-11,Resale,Strata,114,"14,737",-,Apartment,1,999 yrs from 19/02/1883,2015,HDB,537670,19,53,North East Region,Hougang
THE SUNNYDALE,"1,680,000","1,506.96","1,115",28 Feb 2023,23 SERANGOON AVENUE 3 #04-16,Resale,Strata,140,"12,000",-,Condominium,1,99 yrs from 06/12/1997,2001,Private,556125,19,55,North East Region,Serangoon
THE GAZANIA,"1,539,000",656.6,"2,344",01 Mar 2023,11 HOW SUN DRIVE #03-25,New Sale,Strata,61,"25,230",-,Condominium,1,Freehold,2022,HDB,538536,19,53,North East Region,Serangoon
THE GAZANIA,"1,616,000",678.13,"2,383",01 Mar 2023,15 HOW SUN DRIVE #03-31,New Sale,Strata,63,"25,651",-,Condominium,1,Freehold,2022,Private,538545,19,53,North East Region,Serangoon
CHERRYHILL,"1,480,000","1,044.11","1,417",01 Mar 2023,25 LORONG LEW LIAN #03-03,Resale,Strata,97,"15,258",-,Condominium,1,Freehold,1994,HDB,536469,19,53,North East Region,Serangoon
CHOON KIM HOUSE,"1,694,512","1,140.98","1,485",01 Mar 2023,780 UPPER SERANGOON ROAD #03-01,Resale,Strata,106,"15,986",-,Apartment,1,Freehold,2000,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"1,620,018","1,087.16","1,490",01 Mar 2023,780 UPPER SERANGOON ROAD #03-02,Resale,Strata,101,"16,040",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"1,582,447","1,054.87","1,500",01 Mar 2023,780 UPPER SERANGOON ROAD #03-03,Resale,Strata,98,"16,147",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"1,633,862","1,097.93","1,488",01 Mar 2023,780 UPPER SERANGOON ROAD #03-04,Resale,Strata,102,"16,018",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"2,239,658","1,571.54","1,425",01 Mar 2023,780 UPPER SERANGOON ROAD #04-01,Resale,Strata,146,"15,340",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"2,029,199","1,399.32","1,450",01 Mar 2023,780 UPPER SERANGOON ROAD #04-02,Resale,Strata,130,"15,609",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"1,845,170","1,259.39","1,465",01 Mar 2023,780 UPPER SERANGOON ROAD #04-03,Resale,Strata,117,"15,771",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"1,905,648","1,302.44","1,463",01 Mar 2023,780 UPPER SERANGOON ROAD #04-04,Resale,Strata,121,"15,749",-,Apartment,1,Freehold,2000,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"2,029,199","1,399.32","1,450",01 Mar 2023,780 UPPER SERANGOON ROAD #04-05,Resale,Strata,130,"15,609",-,Apartment,1,Freehold,2000,Private,534649,19,53,North East Region,Hougang
CHOON KIM HOUSE,"1,977,612","1,356.26","1,458",01 Mar 2023,780 UPPER SERANGOON ROAD #04-06,Resale,Strata,126,"15,695",-,Apartment,1,Freehold,-,Private,534649,19,53,North East Region,Hougang
STARS OF KOVAN,"1,345,000",742.72,"1,811",01 Mar 2023,986 UPPER SERANGOON ROAD #09-26,Resale,Strata,69,"19,493",-,Apartment,1,99 yrs from 25/02/2015,2019,HDB,534732,19,53,North East Region,Hougang
RIO VISTA,"1,270,000","1,237.86","1,026",01 Mar 2023,30 UPPER SERANGOON VIEW #04-39,Resale,Strata,115,"11,043",-,Condominium,1,99 yrs from 02/01/2001,2004,HDB,534208,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,650,000","1,065.64","1,548",02 Mar 2023,51 HOUGANG AVENUE 7 #05-51,Sub Sale,Strata,99,"16,667",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533818,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"980,000",613.55,"1,597",02 Mar 2023,51 HOUGANG AVENUE 7 #13-58,Sub Sale,Strata,57,"17,193",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533818,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,108,888",624.31,"1,776",02 Mar 2023,22 SERANGOON NORTH AVENUE 1 #10-23,Sub Sale,Strata,58,"19,119",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554338,19,55,North East Region,Serangoon
TERRASSE,"2,630,000","2,217.38","1,186",02 Mar 2023,29 TERRASSE LANE #05-47,Resale,Strata,206,"12,767",-,Condominium,1,99 yrs from 23/08/2010,2014,Private,544778,19,54,North East Region,Hougang
COMPASS HEIGHTS,"1,230,000","1,237.86",994,02 Mar 2023,9 SENGKANG SQUARE #04-11,Resale,Strata,115,"10,696",-,Apartment,1,99 yrs from 30/04/2000,2002,Private,545075,19,54,North East Region,Sengkang
WATERTOWN,"1,270,000",807.3,"1,573",02 Mar 2023,71 PUNGGOL CENTRAL #10-53,Resale,Strata,75,"16,933",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828755,19,82,North East Region,Punggol
THE LILIUM,"1,593,800",742.72,"2,146",03 Mar 2023,33 HOW SUN ROAD #02-12,New Sale,Strata,69,"23,099",-,Condominium,1,Freehold,2021,Private,538501,19,53,North East Region,Serangoon
THE LUXURIE,"750,000",452.09,"1,659",03 Mar 2023,11 COMPASSVALE ROAD #05-01,Resale,Strata,42,"17,857",-,Condominium,1,99 yrs from 15/06/2011,2015,HDB,544749,19,54,North East Region,Sengkang
EVERGREEN PARK,"1,050,000","1,173.28",895,03 Mar 2023,37 HOUGANG AVENUE 7 #04-01,Resale,Strata,109,"9,633",-,Apartment,1,99 yrs from 01/10/1995,1999,Private,538803,19,53,North East Region,Hougang
THE SCALA,"1,381,000",850.36,"1,624",03 Mar 2023,132 SERANGOON AVENUE 3 #09-11,Resale,Strata,79,"17,481",-,Apartment,1,99 yrs from 06/01/2010,2013,Private,554478,19,55,North East Region,Serangoon
THE SCALA,"1,590,000",904.18,"1,759",03 Mar 2023,136 SERANGOON AVENUE 3 #10-21,Resale,Strata,84,"18,929",-,Apartment,1,99 yrs from 06/01/2010,2013,Private,554476,19,55,North East Region,Serangoon
KINGSFORD WATERBAY,"1,140,000",850.36,"1,341",03 Mar 2023,72 UPPER SERANGOON VIEW #09-42,Resale,Strata,79,"14,430",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533882,19,53,North East Region,Hougang
FONTAINE PARRY,"1,438,000","1,065.64","1,349",03 Mar 2023,73 POH HUAT ROAD #01-10,Resale,Strata,99,"14,525",-,Condominium,1,999 yrs from 16/08/1877,2010,Private,546779,19,54,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,220,000",667.37,"1,828",03 Mar 2023,89 HOUGANG AVENUE 2 #07-37,Sub Sale,Strata,62,"19,677",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,538863,19,53,North East Region,Hougang
THE MINTON,"1,550,000","1,108.69","1,398",03 Mar 2023,12A HOUGANG STREET 11 #07-58,Resale,Strata,103,"15,049",-,Condominium,1,99 yrs from 27/07/2007,2013,HDB,534074,19,53,North East Region,Hougang
GOLDEN HEIGHTS,"2,350,000","1,679.18","1,399",03 Mar 2023,126 SERANGOON AVENUE 3 #02-01,Resale,Strata,156,"15,064",-,Apartment,1,Freehold,2003,Private,556126,19,55,North East Region,Serangoon
KOVAN REGENCY,"1,460,000","1,001.05","1,458",03 Mar 2023,4 KOVAN RISE #01-10,Resale,Strata,93,"15,699",-,Condominium,1,99 yrs from 24/04/2012,2015,Private,544735,19,54,North East Region,Hougang
BARTLEY VUE,"2,036,000","1,044.11","1,950",05 Mar 2023,8 JALAN BUNGA RAMPAI #12-08,New Sale,Strata,97,"20,990",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,HDB,538311,19,53,Central Region,Toa Payoh
KOVAN REGENCY,"2,888,000","1,733","1,666",06 Mar 2023,4 KOVAN RISE #14-11,Resale,Strata,161,"17,938",-,Condominium,1,99 yrs from 24/04/2012,2015,HDB,544735,19,54,North East Region,Hougang
KOVAN RESIDENCES,"2,258,000","1,442.38","1,565",06 Mar 2023,5A KOVAN ROAD #17-24,Resale,Strata,134,"16,851",-,Condominium,1,99 yrs from 31/12/2007,2011,HDB,544895,19,54,North East Region,Hougang
AFFINITY AT SERANGOON,"1,088,000",613.55,"1,773",06 Mar 2023,26 SERANGOON NORTH AVENUE 1 #10-49,Sub Sale,Strata,57,"19,088",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554340,19,55,North East Region,Serangoon
BOTANIQUE AT BARTLEY,"870,000",516.67,"1,684",06 Mar 2023,231 UPPER PAYA LEBAR ROAD #05-27,Resale,Strata,48,"18,125",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533870,19,53,North East Region,Serangoon
THE QUARTZ,"1,300,000","1,065.64","1,220",06 Mar 2023,53 COMPASSVALE BOW #04-05,Resale,Strata,99,"13,131",-,Condominium,1,99 yrs from 18/04/2005,2009,Private,544985,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"2,752,888","1,679.18","1,639",06 Mar 2023,55 HOUGANG AVENUE 7 #11-77,Sub Sale,Strata,156,"17,647",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533820,19,53,North East Region,Hougang
CHERRYHILL,"1,710,000","1,270.15","1,346",06 Mar 2023,21 LORONG LEW LIAN #07-01,Resale,Strata,118,"14,492",-,Condominium,1,Freehold,1994,Private,536467,19,53,North East Region,Serangoon
FONTAINE PARRY,"2,720,000","2,120.51","1,283",06 Mar 2023,73 POH HUAT ROAD #05-12,Resale,Strata,197,"13,807",-,Condominium,1,999 yrs from 16/08/1877,2010,Private,546779,19,54,North East Region,Hougang
WATERTOWN,"998,000",602.78,"1,656",06 Mar 2023,73 PUNGGOL CENTRAL #03-61,Resale,Strata,56,"17,821",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828756,19,82,North East Region,Punggol
PARC CENTROS,"3,850,000","2,906.28","1,325",06 Mar 2023,88 PUNGGOL CENTRAL #16-17,Resale,Strata,270,"14,259",-,Condominium,1,99 yrs from 19/03/2012,2016,Private,828721,19,82,North East Region,Punggol
RIVER ISLES,"1,180,000","1,065.64","1,107",06 Mar 2023,66 EDGEDALE PLAINS #03-29,Resale,Strata,99,"11,919",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828732,19,82,North East Region,Punggol
D'HIRO@HILLSIDE,"800,000",613.55,"1,304",06 Mar 2023,61 HILLSIDE DRIVE #03-02,Resale,Strata,57,"14,035",-,Apartment,1,999 yrs from 01/09/1876,2011,Private,549010,19,54,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,180,000",721.19,"1,636",06 Mar 2023,55 HOUGANG AVENUE 7 #13-74,Sub Sale,Strata,67,"17,612",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533820,19,53,North East Region,Hougang
RIVERVALE CREST,"1,100,000","1,216.33",904,06 Mar 2023,9 RIVERVALE CRESCENT #03-30,Resale,Strata,113,"9,735",-,Apartment,1,99 yrs from 06/12/1997,2002,HDB,545086,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"800,000",516.67,"1,548",06 Mar 2023,47 HOUGANG AVENUE 7 #15-37,Sub Sale,Strata,48,"16,667",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533816,19,53,North East Region,Hougang
RIVER ISLES,"1,530,000","1,227.1","1,247",07 Mar 2023,54 EDGEDALE PLAINS #02-07,Resale,Strata,114,"13,421",-,Condominium,1,99 yrs from 06/02/2012,2015,Private,828821,19,82,North East Region,Punggol
RIVERSAILS,"1,545,000","1,065.64","1,450",07 Mar 2023,16 UPPER SERANGOON CRESCENT #06-40,Resale,Strata,99,"15,606",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534028,19,53,North East Region,Hougang
CHILTERN PARK,"2,020,000","1,571.54","1,285",07 Mar 2023,135 SERANGOON AVENUE 3 #07-11,Resale,Strata,146,"13,836",-,Condominium,1,99 yrs from 01/03/1991,1995,HDB,556114,19,55,North East Region,Serangoon
RIVER ISLES,"1,140,000",893.41,"1,276",07 Mar 2023,56 EDGEDALE PLAINS #10-12,Resale,Strata,83,"13,735",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828822,19,82,North East Region,Punggol
THE FLORENCE RESIDENCES,"1,750,000","1,011.82","1,730",07 Mar 2023,91 HOUGANG AVENUE 2 #09-46,Sub Sale,Strata,94,"18,617",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,538864,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,230,000",882.65,"1,394",07 Mar 2023,70 UPPER SERANGOON VIEW #09-33,Resale,Strata,82,"15,000",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533883,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"770,000",462.85,"1,664",07 Mar 2023,51 HOUGANG AVENUE 7 #12-62,Sub Sale,Strata,43,"17,907",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533818,19,53,North East Region,Hougang
